-8.00E-01,-3.02E-03
-7.95E-01,-2.85E-03
-7.90E-01,-2.69E-03
-7.85E-01,-2.53E-03
-7.80E-01,-2.38E-03
-7.75E-01,-2.23E-03
-7.70E-01,-2.08E-03
-7.65E-01,-1.94E-03
-7.60E-01,-1.79E-03
-7.55E-01,-1.65E-03
-7.50E-01,-1.51E-03
-7.45E-01,-1.36E-03
-7.40E-01,-1.23E-03
-7.35E-01,-1.08E-03
-7.30E-01,-9.48E-04
-7.25E-01,-8.13E-04
-7.20E-01,-6.80E-04
-7.15E-01,-5.51E-04
-7.10E-01,-4.20E-04
-7.05E-01,-2.93E-04
-7.00E-01,-1.68E-04
-6.95E-01,-4.94E-05
-6.90E-01,6.50E-05
-6.85E-01,1.86E-04
-6.80E-01,3.01E-04
-6.75E-01,4.16E-04
-6.70E-01,5.30E-04
-6.65E-01,6.38E-04
-6.60E-01,7.47E-04
-6.55E-01,8.50E-04
-6.50E-01,9.53E-04
-6.45E-01,1.05E-03
-6.40E-01,1.15E-03
-6.35E-01,1.24E-03
-6.30E-01,1.33E-03
-6.25E-01,1.42E-03
-6.20E-01,1.51E-03
-6.15E-01,1.60E-03
-6.10E-01,1.67E-03
-6.05E-01,1.75E-03
-6.00E-01,1.83E-03
-5.95E-01,1.90E-03
-5.90E-01,1.97E-03
-5.85E-01,2.04E-03
-5.80E-01,2.11E-03
-5.75E-01,2.17E-03
-5.70E-01,2.23E-03
-5.65E-01,2.29E-03
-5.60E-01,2.35E-03
-5.55E-01,2.40E-03
-5.50E-01,2.45E-03
-5.45E-01,2.50E-03
-5.40E-01,2.55E-03
-5.35E-01,2.59E-03
-5.30E-01,2.64E-03
-5.25E-01,2.68E-03
-5.20E-01,2.72E-03
-5.15E-01,2.76E-03
-5.10E-01,2.79E-03
-5.05E-01,2.82E-03
-5.00E-01,2.85E-03
-4.95E-01,2.88E-03
-4.90E-01,2.90E-03
-4.85E-01,2.93E-03
-4.80E-01,2.95E-03
-4.75E-01,2.97E-03
-4.70E-01,2.99E-03
-4.65E-01,3.00E-03
-4.60E-01,3.02E-03
-4.55E-01,3.03E-03
-4.50E-01,3.05E-03
-4.45E-01,3.06E-03
-4.40E-01,3.07E-03
-4.35E-01,3.07E-03
-4.30E-01,3.08E-03
-4.25E-01,3.09E-03
-4.20E-01,3.10E-03
-4.15E-01,3.10E-03
-4.10E-01,3.11E-03
-4.05E-01,3.11E-03
-4.00E-01,3.12E-03
-3.95E-01,3.12E-03
-3.90E-01,3.12E-03
-3.85E-01,3.13E-03
-3.80E-01,3.13E-03
-3.75E-01,3.14E-03
-3.70E-01,3.13E-03
-3.65E-01,3.14E-03
-3.60E-01,3.14E-03
-3.55E-01,3.14E-03
-3.50E-01,3.15E-03
-3.45E-01,3.15E-03
-3.40E-01,3.15E-03
-3.35E-01,3.15E-03
-3.30E-01,3.15E-03
-3.25E-01,3.15E-03
-3.20E-01,3.15E-03
-3.15E-01,3.16E-03
-3.10E-01,3.16E-03
-3.05E-01,3.16E-03
-3.00E-01,3.16E-03
-2.95E-01,3.16E-03
-2.90E-01,3.16E-03
-2.85E-01,3.16E-03
-2.80E-01,3.16E-03
-2.75E-01,3.17E-03
-2.70E-01,3.17E-03
-2.65E-01,3.17E-03
-2.60E-01,3.17E-03
-2.55E-01,3.17E-03
-2.50E-01,3.17E-03
-2.45E-01,3.17E-03
-2.40E-01,3.17E-03
-2.35E-01,3.17E-03
-2.30E-01,3.17E-03
-2.25E-01,3.17E-03
-2.20E-01,3.17E-03
-2.15E-01,3.17E-03
-2.10E-01,3.17E-03
-2.05E-01,3.17E-03
-2.00E-01,3.17E-03
-1.95E-01,3.17E-03
-1.90E-01,3.17E-03
-1.85E-01,3.17E-03
-1.80E-01,3.17E-03
-1.75E-01,3.17E-03
-1.70E-01,3.17E-03
-1.65E-01,3.18E-03
-1.60E-01,3.18E-03
-1.55E-01,3.18E-03
-1.50E-01,3.18E-03
-1.45E-01,3.18E-03
-1.40E-01,3.18E-03
-1.35E-01,3.18E-03
-1.30E-01,3.18E-03
-1.25E-01,3.18E-03
-1.20E-01,3.18E-03
-1.15E-01,3.18E-03
-1.10E-01,3.18E-03
-1.05E-01,3.18E-03
-1.00E-01,3.18E-03
-9.50E-02,3.18E-03
-9.00E-02,3.18E-03
-8.50E-02,3.18E-03
-8.00E-02,3.18E-03
-7.50E-02,3.18E-03
-7.00E-02,3.18E-03
-6.50E-02,3.18E-03
-6.00E-02,3.18E-03
-5.50E-02,3.18E-03
-5.00E-02,3.18E-03
-4.50E-02,3.18E-03
-4.00E-02,3.18E-03
-3.50E-02,3.18E-03
-3.00E-02,3.18E-03
-2.50E-02,3.18E-03
-2.00E-02,3.18E-03
-1.50E-02,3.18E-03
-1.00E-02,3.18E-03
-5.00E-03,3.18E-03
1.66E-17,3.18E-03
5.00E-03,3.18E-03
1.00E-02,3.18E-03
1.50E-02,3.18E-03
2.00E-02,3.18E-03
2.50E-02,3.18E-03
3.00E-02,3.18E-03
3.50E-02,3.18E-03
4.00E-02,3.18E-03
4.50E-02,3.18E-03
5.00E-02,3.18E-03
5.50E-02,3.18E-03
6.00E-02,3.18E-03
6.50E-02,3.18E-03
7.00E-02,3.18E-03
7.50E-02,3.18E-03
8.00E-02,3.18E-03
8.50E-02,3.18E-03
9.00E-02,3.18E-03
9.50E-02,3.18E-03
1.00E-01,3.18E-03
