1.00E-01,3.22E-03
9.50E-02,3.23E-03
9.00E-02,3.23E-03
8.50E-02,3.22E-03
8.00E-02,3.22E-03
7.50E-02,3.22E-03
7.00E-02,3.22E-03
6.50E-02,3.22E-03
6.00E-02,3.22E-03
5.50E-02,3.21E-03
5.00E-02,3.21E-03
4.50E-02,3.21E-03
4.00E-02,3.21E-03
3.50E-02,3.21E-03
3.00E-02,3.21E-03
2.50E-02,3.21E-03
2.00E-02,3.21E-03
1.50E-02,3.21E-03
1.00E-02,3.21E-03
5.00E-03,3.20E-03
-2.08E-18,3.20E-03
-5.00E-03,3.20E-03
-1.00E-02,3.20E-03
-1.50E-02,3.20E-03
-2.00E-02,3.20E-03
-2.50E-02,3.20E-03
-3.00E-02,3.19E-03
-3.50E-02,3.20E-03
-4.00E-02,3.19E-03
-4.50E-02,3.19E-03
-5.00E-02,3.19E-03
-5.50E-02,3.19E-03
-6.00E-02,3.19E-03
-6.50E-02,3.19E-03
-7.00E-02,3.19E-03
-7.50E-02,3.19E-03
-8.00E-02,3.19E-03
-8.50E-02,3.19E-03
-9.00E-02,3.18E-03
-9.50E-02,3.19E-03
-1.00E-01,3.18E-03
-1.05E-01,3.18E-03
-1.10E-01,3.18E-03
-1.15E-01,3.18E-03
-1.20E-01,3.18E-03
-1.25E-01,3.18E-03
-1.30E-01,3.18E-03
-1.35E-01,3.18E-03
-1.40E-01,3.18E-03
-1.45E-01,3.18E-03
-1.50E-01,3.18E-03
-1.55E-01,3.17E-03
-1.60E-01,3.18E-03
-1.65E-01,3.17E-03
-1.70E-01,3.17E-03
-1.75E-01,3.17E-03
-1.80E-01,3.17E-03
-1.85E-01,3.17E-03
-1.90E-01,3.17E-03
-1.95E-01,3.17E-03
-2.00E-01,3.17E-03
-2.05E-01,3.17E-03
-2.10E-01,3.17E-03
-2.15E-01,3.16E-03
-2.20E-01,3.16E-03
-2.25E-01,3.16E-03
-2.30E-01,3.16E-03
-2.35E-01,3.16E-03
-2.40E-01,3.16E-03
-2.45E-01,3.15E-03
-2.50E-01,3.15E-03
-2.55E-01,3.16E-03
-2.60E-01,3.15E-03
-2.65E-01,3.15E-03
-2.70E-01,3.15E-03
-2.75E-01,3.15E-03
-2.80E-01,3.15E-03
-2.85E-01,3.14E-03
-2.90E-01,3.14E-03
-2.95E-01,3.14E-03
-3.00E-01,3.14E-03
-3.05E-01,3.14E-03
-3.10E-01,3.14E-03
-3.15E-01,3.13E-03
-3.20E-01,3.13E-03
-3.25E-01,3.13E-03
-3.30E-01,3.13E-03
-3.35E-01,3.13E-03
-3.40E-01,3.12E-03
-3.45E-01,3.12E-03
-3.50E-01,3.12E-03
-3.55E-01,3.12E-03
-3.60E-01,3.11E-03
-3.65E-01,3.11E-03
-3.70E-01,3.11E-03
-3.75E-01,3.10E-03
-3.80E-01,3.10E-03
-3.85E-01,3.10E-03
-3.90E-01,3.09E-03
-3.95E-01,3.09E-03
-4.00E-01,3.08E-03
-4.05E-01,3.08E-03
-4.10E-01,3.08E-03
-4.15E-01,3.07E-03
-4.20E-01,3.06E-03
-4.25E-01,3.06E-03
-4.30E-01,3.05E-03
-4.35E-01,3.04E-03
-4.40E-01,3.03E-03
-4.45E-01,3.02E-03
-4.50E-01,3.01E-03
-4.55E-01,3.00E-03
-4.60E-01,2.98E-03
-4.65E-01,2.97E-03
-4.70E-01,2.95E-03
-4.75E-01,2.93E-03
-4.80E-01,2.91E-03
-4.85E-01,2.89E-03
-4.90E-01,2.87E-03
-4.95E-01,2.84E-03
-5.00E-01,2.81E-03
-5.05E-01,2.78E-03
-5.10E-01,2.75E-03
-5.15E-01,2.71E-03
-5.20E-01,2.67E-03
-5.25E-01,2.63E-03
-5.30E-01,2.59E-03
-5.35E-01,2.54E-03
-5.40E-01,2.49E-03
-5.45E-01,2.45E-03
-5.50E-01,2.39E-03
-5.55E-01,2.34E-03
-5.60E-01,2.28E-03
-5.65E-01,2.22E-03
-5.70E-01,2.16E-03
-5.75E-01,2.10E-03
-5.80E-01,2.04E-03
-5.85E-01,1.97E-03
-5.90E-01,1.90E-03
-5.95E-01,1.84E-03
-6.00E-01,1.77E-03
-6.05E-01,1.69E-03
-6.10E-01,1.62E-03
-6.15E-01,1.54E-03
-6.20E-01,1.47E-03
-6.25E-01,1.39E-03
-6.30E-01,1.31E-03
-6.35E-01,1.23E-03
-6.40E-01,1.14E-03
-6.45E-01,1.06E-03
-6.50E-01,9.68E-04
-6.55E-01,8.75E-04
-6.60E-01,7.83E-04
-6.65E-01,6.88E-04
-6.70E-01,5.92E-04
-6.75E-01,4.89E-04
-6.80E-01,3.86E-04
-6.85E-01,2.80E-04
-6.90E-01,1.74E-04
-6.95E-01,5.67E-05
-7.00E-01,-5.55E-05
-7.05E-01,-1.69E-04
-7.10E-01,-2.86E-04
-7.15E-01,-4.04E-04
-7.20E-01,-5.26E-04
-7.25E-01,-6.49E-04
-7.30E-01,-7.74E-04
-7.35E-01,-9.00E-04
-7.40E-01,-1.03E-03
-7.45E-01,-1.16E-03
-7.50E-01,-1.29E-03
-7.55E-01,-1.43E-03
-7.60E-01,-1.56E-03
-7.65E-01,-1.70E-03
-7.70E-01,-1.84E-03
-7.75E-01,-1.98E-03
-7.80E-01,-2.12E-03
-7.85E-01,-2.26E-03
-7.90E-01,-2.41E-03
-7.95E-01,-2.55E-03
-8.00E-01,-2.70E-03
